feature_idx,importance
656,0.074147
657,0.05994271
658,0.056897838
659,0.044750202
660,0.046621345
661,0.07629846
662,0.0638261
663,0.049945805
664,0.048702728
665,0.09782585
666,0.0550308
667,0.05191558
668,0.06592183
669,0.057545327
670,0.03152957
671,0.059221845
672,0.0657019
673,0.05437758
674,0.05106959
675,0.051628646
676,0.06265812
677,0.05780745
678,0.05510463
679,0.04864195
680,0.05497341
681,0.06963866
682,0.042390183
683,0.079922676
684,0.055376984
685,0.041231733
686,0.040645607
687,0.051205948
688,0.06561819
689,0.061593607
690,0.040085938
691,0.03888701
692,0.053706758
693,0.04534505
694,0.041301783
695,0.06260708
696,0.06558084
697,0.047689427
698,0.04845904
699,0.03817635
700,0.055956747
701,0.04736297
